assignmentId,workerId,hitId,vigilanceScore,feedback
3H7XDTSHKUNET1VJ59GZZFQS7U5GWZ,A1BSXD5EXXMYMK,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3A1PQ49WVZDZSWARSR9WRPCZQH9H10,A29G9DJXG0DBS6,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3IHR8NYAMPX8XC5YYM03YWLTOSTP4Q,A99RQN7JK7KBH,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3OJSZ2ATDAS1NP5YG5PW320MOUJ575,A3UXCNFOYRYUVO,H_0001,0.00,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3UNH76FOCA1IAGM5VDWIXHV5EOGYMN,A12TIDCYBL2KVO,H_0001,0.60,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3Z9WI9EOZHK1YXWD01FEW48YZN9HK3,AFT18SQEGDCRU,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3KGTPGBS6FHBM3Y7BUG9FNBUCVQ2U4,AEA1DSF8LR45H,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3XM0HYN6N2VQPE2RNSCG7IXK1HNPEW,A4RU5ZF0INCGM,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3BDCF01OGFQY4Y4KV1V3X4GGEJQYLL,A2MEEPNZL309G8,H_0001,0.80,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3G5W44VEUPENY112GVXWB4WXKNWGK3,A24ACSDYJCJA4A,H_0001,0.00,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
39JEC7537CXOX0F9DDFKNMMZ2TAVCT,A16SJ9F6OJ15QT,H_0001,0.80,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3ZPPDN2SLDS5XRMK63GJLSX5WD5E9Q,A3O0REOL33EH7U,H_0001,0.00,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3HUTX6F6VCJG9YEAF840GHJ5U91O2C,AS59SIV0342LA,H_0001,0.80,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3PXX5PX6LFULV7K5OISTGF24ZYABA2,AB8MDIGNJO34Y,H_0001,0.80,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
34V1S5K3GAX1KCT50LXL945SFFH960,A3UAZO3NRL9NPR,H_0001,0.60,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3P4MQ7TPPF8QEHPXUWSPBQMAHGVBBX,A3VYRNRLL14SQW,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3D8YOU6S9WGZ44H8YWSC50S6S0R6UO,A35QDGYOC20SBN,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3X73LLYYQJA263HGXE7UOWP2TIEHN8,A3M2NB4GS63TQL,H_0001,0.80,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3TK8OJTYMJH7RPODII1Q7ML61CQVP8,A3EJLY1002ZTCA,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
36AHBNMV198F6MGSIKXFER8B5APDYL,A3F21EJHJWYKJB,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3KXIR214IMCC554SWOPR2JD0DI224H,A3NBP01446B9TS,H_0001,0.80,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
