assignmentId,workerId,hitId,vigilanceScore,feedback
3L0KT67Y8WCL8BZAFAS49QUB6CDYSC,A1RMYBGX638R2U,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3AUQQEL7UNP438KT1XM0SLKYT3S0VI,A1OSPCR3NFS8U1,H_0001,0.40,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
31QTRG6Q2B9OVJJINTOAELP0JS6YPW,AUWY4SBPI2OHD,H_0001,0.40,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3LS2AMNW5XMX1HGVHJU1CZH8AETQO4,A216344E81QAJE,H_0001,0.40,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3TR2532VI7QQQO6EMXOYYYJVBJ7J6H,A1SBPXI3W1P18Q,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
32UTUBMZ7YS5NVN3ZDJPC2GHK7OVBY,A27CQLFKOJS41M,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3X66WABAJEEH23TVVP5XUIFV90O3GR,A1P9H2D30G2FX6,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
37M28K1J089RDQIHCA5AE3LH72XJA7,ADHU0CU00UZN5,H_0001,0.40,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3HHRAGRYXQ1R9IZ90HJFQ4RJ0EPO9G,A119LBZILKVGJ6,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3JCG6DTRVLM0MTTBWWM514C8PFBQQC,A8NLOE9FSUUHT,H_0001,0.00,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3SPJ03342JZS98GKSGJQHP3OAT0YJW,A11G96E14MX2T1,H_0001,0.00,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3Z4AIRP3CO9WEMA6XVRIUB0TE671XQ,A1PAPBR98GW6X4,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3WZ36BJEVLCQA3JEUIJABKSWNM9TBH,A36EARBLXFP9J5,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3HVVDCPGTWOMNBCP4AXUJVQX8VRTYW,AXTQJEISJ749I,H_0001,0.00,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3VAR3R6G17XRVDGZVPD1Q8W8G87O8R,A2G2MLZIZCCEU1,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3NLZY2D537LPVWDY4RE9KIDEF9OQLN,A2SSAVHFJ5IZEY,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
32ZKVD547XJLBMLKF3DJT7OYTNW3BA,A9AW4LXEY2CUW,H_0001,0.00,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
31N2WW6R99MBO3X0K5ZFCXFJ8LO3FS,AUZB784YQ0O9M,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3QBD8R3Z2JFQCCTXJMNO9WG3EMBO4K,A2SDOMU95IZBZK,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
31T4R4OBOACMMAEDVFC4H86WGAJC7W,AR2K3RMWXFXWX,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
320DUZ38GPISNHVKYAXKAPWK5XAJGJ,A2W2FJAOM1LST6,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
37TRT2X248NWW0N9IO569E5NPKIJB2,A2P7PLVMBBOFQH,H_0001,0.80,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
36V4Q8R5Z2W91EVJ43FOKVS3FEEQMP,A3J2H5Z1Z33WSC,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3H7XDTSHKUNET1VJ59GZZFQS7TJWGR,A5UR4BXM44NHP,H_0001,0.80,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
379J5II416C0YTNTV0J9Q1O0W60LE6,A7WKRQXI0CAVW,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
388U7OUMFPXCA13CSDHQROVV8XFR0G,A2JZRGGPKHCPZI,H_0001,0.80,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3CTOC39K3PM9UOKJ57TQ4CJR6URJ7G,A6OFKIDN0B2ML,H_0001,0.00,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3S4AW7T80TEI6RQ06U7WHFC9JH6L40,AQC0BTLWPBNGF,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3180JW2OTM8U7K60HEET6S5VFOWJ51,AZYA2Y03VX8IE,H_0001,0.80,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
37W3JXSD6O4EFSGJZF256FXWCP9YWR,AEQILMF8D79LM,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3570Y55XZ7FII6QJKAYNKCB8I1JYGS,A1HSQYTKC4MRTU,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
33OOO72IVZH9K8BK8IF5M4YE57ACT8,A1TLL0JREJSYKE,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
340UGXU9DGXKJUW9Z40KHS859SWVUG,A2ODBJIVAU4NJC,H_0001,0.40,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
3AAPLD8UCUD01GM0UAT6XVVUIZETHX,AZTAPCOD2Y512,H_0001,0.20,"We would like to extend our deepest gratitude for your time and efforts taken to participate in our survey. However, the vigilance tests embedded within the survey are designed to ensure the accuracy and reliability of the data collected. These tests were unfortunately not passed with the necessary accuracy in your submission. With this in mind, we regret to inform you that we are unable to include your submission in our data set."
