HITId,RequesterAnnotation,WorkerId,AssignmentId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,Answer.workerId,Answer.hitId,Answer.rank1,Answer.rank2,Answer.rank3,Answer.rank4,Answer.rank5,Answer.rank6,Answer.rank7,Answer.rank8,Answer.rank9,Answer.rank10,Answer.rank11,Answer.rank12,Answer.rank13,Answer.rank14,Answer.rank15,Answer.rank16,Answer.rank17,Answer.rank18,Answer.rank19,Answer.rank20,Answer.rank21,Answer.rank22,Answer.rank23,Answer.rank24,Answer.rank25
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A2ZJNF0DT8V4EJ,33M4IA01QYXK7R9NVP6X02I6I40RXB,Submitted,2026-05-11T22:58:32+09:00,2026-05-11T23:35:59+09:00,2026-05-14T23:35:59+09:00,A2ZJNF0DT8V4EJ,H_0001,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A1RMYBGX638R2U,3L0KT67Y8WCL8BZAFAS49QUB6CDYSC,Submitted,2026-05-11T22:58:21+09:00,2026-05-11T23:39:17+09:00,2026-05-14T23:39:17+09:00,A1RMYBGX638R2U,H_0001,ABCEFD,ABFCED,ABDEFC,BCDEFA,ABDEFC,ABCDEF,ABCDFE,FABCDE,ABDEFC,ABCDEF,ABCDEF,ACDEFB,ABCDEF,ABCEFD,ABFCDE,BCDEAF,ABDEFC,ABFCDE,ADEFCB,ABDEFC,ABDEFC,CABDEF,ABCEFD,ABCDFE,ABCEFD
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A1OSPCR3NFS8U1,3AUQQEL7UNP438KT1XM0SLKYT3S0VI,Submitted,2026-05-11T22:58:21+09:00,2026-05-11T23:41:01+09:00,2026-05-14T23:41:01+09:00,A1OSPCR3NFS8U1,H_0001,ABCEFD,AECDBF,AFDEBC,ABCDEF,ABCDFE,ABDEFC,ABCDEF,ABCDEF,ABDEFC,ABCDFE,CABDEF,ACDEFB,CABDEF,BCDEFA,ABCDEF,ABDEFC,ABCDEF,BCDEFA,ABCDEF,ABDEFC,ABDEFC,ABCEFD,ABCEFD,ABCDEF,ADCFEB
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,AUWY4SBPI2OHD,31QTRG6Q2B9OVJJINTOAELP0JS6YPW,Submitted,2026-05-11T22:58:21+09:00,2026-05-11T23:41:04+09:00,2026-05-14T23:41:04+09:00,AUWY4SBPI2OHD,H_0001,DAECFB,ABCEFD,ACBEDF,CBDFEA,BADCFE,ACFBED,ACFDBE,FACBDE,ACDBEF,CABEFD,CAFDBE,CBAEFD,CABEFD,CBDEFA,DBCEAF,ABDCEF,CBAEDF,EBDCAF,BADECF,ABDEFC,DBAEFC,CADBFE,FBCDEA,AFBCDE,BADEFC
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A216344E81QAJE,3LS2AMNW5XMX1HGVHJU1CZH8AETQO4,Submitted,2026-05-11T22:58:21+09:00,2026-05-11T23:41:11+09:00,2026-05-14T23:41:11+09:00,A216344E81QAJE,H_0001,FEDCBA,FACDEB,FDBECA,ADCEBF,BADECF,FEBCDA,FEBDCA,FCDEBA,FCDEBA,FDBCEA,FBDCEA,FEBCDA,ABDFCE,FDBCEA,FDCBEA,ABDCEF,FBDCEA,FDBCEA,FCDBEA,FDBCEA,FDCAEB,ACBDEF,FECBDA,FBDCEA,FACDBE
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A1SBPXI3W1P18Q,3TR2532VI7QQQO6EMXOYYYJVBJ7J6H,Submitted,2026-05-11T23:00:18+09:00,2026-05-11T23:41:17+09:00,2026-05-14T23:41:17+09:00,A1SBPXI3W1P18Q,H_0001,EACDBF,FBCEDA,FBCDAE,FBCDEA,FBCDAE,FACBDE,FBCDEA,FBCDAE,FACDBE,BCADEF,BCFADE,FBCDAE,FBCDAE,FBCDAE,FACDBE,ABDECF,FBDCEA,CDFBAE,FACDBE,ABCFDE,FBCADE,FABDCE,EBCDAF,ACDBEF,BFCDEA
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A1CGK5GD971DCK,3RGU30DZTS4SFRR69DVFNUGH1JMMJU,Submitted,2026-05-11T23:05:05+09:00,2026-05-11T23:41:17+09:00,2026-05-14T23:41:17+09:00,A1CGK5GD971DCK,H_0001,EADFBC,DABCEF,ABECDF,ABCDEF,BACDEF,ACDBEF,BACDFE,FABCDE,AFCDBE,BEACDF,CABDEF,CFABDE,CFABED,DEFCBA,DACBEF,AECDBF,ECDBFA,EDCBAF,CFBADE,ADBFEC,CABEFD,CBFDAE,FEABCD,FCBAED,CEBFAD
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A27CQLFKOJS41M,32UTUBMZ7YS5NVN3ZDJPC2GHK7OVBY,Submitted,2026-05-11T22:58:21+09:00,2026-05-11T23:41:22+09:00,2026-05-14T23:41:22+09:00,A27CQLFKOJS41M,H_0001,FDBCEA,FBCDEA,FCDABE,FBDCEA,FEACDB,ABDECF,FBECAD,FEBDCA,FBDCEA,FEBCDA,EAFCDB,CBFDAE,FBDCEA,FBDCEA,FDBCEA,FDBCEA,FBECDA,FBDCEA,FDABCE,FBDCAE,FBDCEA,FABCDE,FBECAD,FBCDAE,BDCAEF
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A1P9H2D30G2FX6,3X66WABAJEEH23TVVP5XUIFV90O3GR,Submitted,2026-05-11T22:58:21+09:00,2026-05-11T23:41:28+09:00,2026-05-14T23:41:28+09:00,A1P9H2D30G2FX6,H_0001,FDBCAE,FCDEBA,ABCFDE,BCDAFE,FDBCEA,FBDECA,FBCDAE,FBCAED,FBCDEA,FCDBEA,FACBDE,FBDCEA,FCDAEB,BCFDAE,FBCDAE,EBCADF,FBACDE,FCBDEA,DBCEFA,FABCDE,BDACFE,FBDCAE,FBDCAE,FADCBE,CBDEAF
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,ADHU0CU00UZN5,37M28K1J089RDQIHCA5AE3LH72XJA7,Submitted,2026-05-11T22:58:21+09:00,2026-05-11T23:41:36+09:00,2026-05-14T23:41:36+09:00,ADHU0CU00UZN5,H_0001,FCDBEA,ABCDEF,FCDEBA,ADFCBE,FBDCEA,ABCEFD,FACBDE,FBCDAE,EABCDF,BEDCFA,FBCDAE,AFCDEB,FACBED,FEBDAC,FBACDE,BECDAF,BCDEAF,FBDCAE,EBCDFA,FBCADE,AFDBCE,BCFDEA,FBDCAE,FCBADE,FCBDAE
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A119LBZILKVGJ6,3HHRAGRYXQ1R9IZ90HJFQ4RJ0EPO9G,Submitted,2026-05-11T22:58:21+09:00,2026-05-11T23:41:46+09:00,2026-05-14T23:41:46+09:00,A119LBZILKVGJ6,H_0001,FBDCEA,ECDBFA,FBCDAE,FBCDEA,DBECFA,FBCDAE,FBCDAE,FDBCEA,EFBCDA,CDBEAF,FBDCEA,FBCDEA,CDEABF,DFBCEA,AFCDBE,FBDCEA,BFCEDA,BCADEF,ABCDEF,FBCDEA,EBCDFA,CADEFB,BDFECA,DACEBF,BCDEFA
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A2BVK0H0YA09BA,3UNH76FOCA1IAGM5VDWIXHV5ENVYM0,Submitted,2026-05-11T23:01:21+09:00,2026-05-11T23:43:29+09:00,2026-05-14T23:43:29+09:00,A2BVK0H0YA09BA,H_0001,EABCDF,DABCEF,BECADF,ABCDEF,BAFDEC,ADBECF,ABCDEF,FABCDE,ACEBFD,CADBEF,CABDEF,CBDFAE,CDBEFA,CEFBDA,BCEFAD,EADBFC,CBEAFD,EDCABF,BACFDE,ADCFBE,CBADEF,CFDABE,EAFBCD,FCDABE,ADCFBE
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A8NLOE9FSUUHT,3JCG6DTRVLM0MTTBWWM514C8PFBQQC,Submitted,2026-05-11T22:58:21+09:00,2026-05-11T23:44:04+09:00,2026-05-14T23:44:04+09:00,A8NLOE9FSUUHT,H_0001,FCBAED,CAEBFD,FABDEC,CFBDEA,FCADEB,BEDFCA,DACBFE,CDEABF,BDFECA,BCDEAF,BDAEFC,BAEFDC,BEAFCD,EABDFC,BCFAED,BACFDE,BCDAFE,BEFADC,BAECDF,BECFDA,BADEFC,CADFEB,BADCFE,BCEDAF,CDAEFB
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A11G96E14MX2T1,3SPJ03342JZS98GKSGJQHP3OAT0YJW,Submitted,2026-05-11T22:58:21+09:00,2026-05-11T23:44:16+09:00,2026-05-14T23:44:16+09:00,A11G96E14MX2T1,H_0001,DBACFE,EBAFCD,CDEFAB,DBECFA,CDEFAB,BCEDFA,BCEADF,BCDAFE,DEABFC,BFAECD,BDAFEC,BADFEC,BACDFE,BDAEFC,AFDBEC,BADFEC,BCADFE,BFDEAC,BAECFD,CBEFDA,BDAFEC,CEBAFD,EBAFCD,CDAFEB,BFCAED
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A1PAPBR98GW6X4,3Z4AIRP3CO9WEMA6XVRIUB0TE671XQ,Submitted,2026-05-11T22:58:21+09:00,2026-05-11T23:44:40+09:00,2026-05-14T23:44:40+09:00,A1PAPBR98GW6X4,H_0001,ABFCDE,ABDFCE,AEBDCF,ABDECF,ABEDCF,ABDECF,ABECDF,ABEDCF,ABEDCF,ABEDCF,AEBCDF,ADBCFE,ABECFD,ABECDF,AECBDF,ACBEDF,ABEDFC,ADBCFE,ABCFED,ABDCFE,ABECFD,ABCDFE,ABDCEF,AEBDFC,ADCEBF
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A36EARBLXFP9J5,3WZ36BJEVLCQA3JEUIJABKSWNM9TBH,Submitted,2026-05-11T22:58:20+09:00,2026-05-11T23:44:54+09:00,2026-05-14T23:44:54+09:00,A36EARBLXFP9J5,H_0001,ABEDFC,AFCBDE,AFBCED,ABDECF,ABDCEF,ACDBEF,ABEFDC,ADEBCF,ABDECF,ABDECF,AEFBCD,ABDEFC,EABDCF,ABCEDF,AFBEDC,CAFBED,ABECDF,ADBEFC,ACFBED,ABCDFE,ABECFD,AEBFCD,AFEBCD,BACEFD,EAFCDB
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,AXTQJEISJ749I,3HVVDCPGTWOMNBCP4AXUJVQX8VRTYW,Submitted,2026-05-11T22:58:21+09:00,2026-05-11T23:45:12+09:00,2026-05-14T23:45:12+09:00,AXTQJEISJ749I,H_0001,ADECBF,ABDECF,ABDECF,BCADEF,ABDECF,BCDAEF,ACDBEF,ABCDFE,ABFCDE,ABECDF,ACDEFB,ABECDF,ABDECF,BCDEAF,EABCDF,ACDBEF,ABDECF,ACDEBF,ACDEBF,BCDEAF,ACDEFB,ACDEFB,BCDEAF,ACDEBF,ABDECF
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A2G2MLZIZCCEU1,3VAR3R6G17XRVDGZVPD1Q8W8G87O8R,Submitted,2026-05-11T23:30:58+09:00,2026-05-11T23:47:01+09:00,2026-05-14T23:47:01+09:00,A2G2MLZIZCCEU1,H_0001,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A2SSAVHFJ5IZEY,3NLZY2D537LPVWDY4RE9KIDEF9OQLN,Submitted,2026-05-11T23:30:27+09:00,2026-05-11T23:50:47+09:00,2026-05-14T23:50:47+09:00,A2SSAVHFJ5IZEY,H_0001,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,BAEDCF,CABDEF,CEFDAB,DCFAEB,BDAFCE,DFCABE,EDBFCA,FAECBD,CBADEF,ADBFCE,AEBCFD,EFDBCA
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A9AW4LXEY2CUW,32ZKVD547XJLBMLKF3DJT7OYTNW3BA,Submitted,2026-05-11T23:19:05+09:00,2026-05-11T23:50:56+09:00,2026-05-14T23:50:56+09:00,A9AW4LXEY2CUW,H_0001,DCAFEB,FABEDC,EDFABC,DBAEFC,DCABEF,DBACEF,ABCDEF,ACFBDE,ABCDEF,DAEBCF,BAEDCF,DBACEF,BCDEAF,FEDABC,CBDAEF,EABFCD,ECDABF,CEFABD,ABFCDE,ABCDEF,DECABF,FDCABE,ABCDEF,ABCDEF,EDBACF
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A3IHDNKFEEXOG7,358UUM7WRHZQSC3WDC2Z635IGBLR7G,Submitted,2026-05-11T22:58:32+09:00,2026-05-11T23:54:09+09:00,2026-05-14T23:54:09+09:00,A3IHDNKFEEXOG7,H_0001,EFDBCA,DBCAEF,AECDFB,AFCDBE,CADEFB,BAFDEC,BACEFD,FABCDE,AEBDFC,CAEBDF,CABDEF,DCBEAF,CDABEF,DBCEAF,BDAEFC,FDBACE,CAEBFD,EACBFD,BADEFC,AFBDCE,CABDEF,CFDABE,EFCADB,AFEDBC,AECBDF
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,AW7JEJN4KPU6B,3M0BCWMB8DSI2KN8PNOLY4ZVRGRWBA,Submitted,2026-05-11T22:58:21+09:00,2026-05-11T23:55:21+09:00,2026-05-14T23:55:21+09:00,AW7JEJN4KPU6B,H_0001,ABCFDE,DBCAEF,FABDCE,ABFDEC,ACDEFB,BEDCFA,BCAEDF,FABCDE,FBDACE,CDEABF,CAFEBD,EAFBDC,CAEBFD,DFECAB,DABCEF,FBCDAE,AFDBEC,FABCDE,BAECDF,BAEDCF,CABDEF,CDBEFA,FACDEB,FBACDE,ECABDF
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,AUZB784YQ0O9M,31N2WW6R99MBO3X0K5ZFCXFJ8LO3FS,Submitted,2026-05-11T22:58:21+09:00,2026-05-11T23:56:35+09:00,2026-05-14T23:56:35+09:00,AUZB784YQ0O9M,H_0001,EAFBCD,FCEADB,AECBDF,CDEFBA,FDCEAB,EBCFDA,EABCDF,FBCAED,EBFCDA,EBFCDA,FDEBAC,EAFBCD,CFDBEA,FAEBCD,FADCEB,FAEBCD,EAFBCD,AECBDF,EAFBCD,AECDBF,EBFCDA,CFABED,EBFCDA,ACFBED,FBAECD
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A2SDOMU95IZBZK,3QBD8R3Z2JFQCCTXJMNO9WG3EMBO4K,Submitted,2026-05-11T22:58:21+09:00,2026-05-11T23:56:38+09:00,2026-05-14T23:56:38+09:00,A2SDOMU95IZBZK,H_0001,EACDFB,ACBEFD,ABCEFD,BCEDAF,BACDFE,ACBDFE,FBCDAE,FABCDE,ABDEFC,CABEFD,ABDECF,ACBDEF,CABEFD,ABDEFC,CABDEF,ABECDF,ACBDEF,CABDEF,AFBDEC,ABCDEF,ABCDEF,ACBEFD,ADCEFB,ABCEDF,DACEBF
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,AR2K3RMWXFXWX,31T4R4OBOACMMAEDVFC4H86WGAJC7W,Submitted,2026-05-11T22:58:33+09:00,2026-05-11T23:57:34+09:00,2026-05-14T23:57:34+09:00,AR2K3RMWXFXWX,H_0001,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A2GVQQL9U1O1N3,3X3OR7WPZHWJPSD2IXX9YRSEL32L87,Submitted,2026-05-11T23:13:25+09:00,2026-05-12T00:06:18+09:00,2026-05-15T00:06:18+09:00,A2GVQQL9U1O1N3,H_0001,EADBCF,DABCEF,AEBCDF,ABCDEF,DECABF,ADFBEC,FBCAED,FABCDE,ADEBFC,FBEACD,CABDEF,CFDAEB,DCBEAF,CDFEAB,BCAEFD,EABDFC,CEDAFB,EABDFC,ABCFDE,ADEBFC,CAFBDE,DFBAEC,EACDBF,FAECDB,FBAECD
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A2W2FJAOM1LST6,320DUZ38GPISNHVKYAXKAPWK5XAJGJ,Submitted,2026-05-11T23:58:46+09:00,2026-05-12T00:11:40+09:00,2026-05-15T00:11:40+09:00,A2W2FJAOM1LST6,H_0001,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF,ABCDEF
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A1TDFI3P4A3VRP,3S3AMIZX3C123JFNMSFQH0GS2LMDCQ,Submitted,2026-05-11T23:58:46+09:00,2026-05-12T00:12:50+09:00,2026-05-15T00:12:50+09:00,A1TDFI3P4A3VRP,H_0001,DEFABC,DABCEF,ADFCEB,ABCDEF,BADCEF,AFDECB,FEABDC,FABCDE,AEBCDF,CFEDAB,CABDEF,CDABFE,CDBEFA,CAFBDE,ABEFCD,FDABEC,DCEBFA,EFCABD,ACFBDE,AFCDEB,CABDEF,EADFBC,CBAEFD,AFBCED,CEABFD
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A2P7PLVMBBOFQH,37TRT2X248NWW0N9IO569E5NPKIJB2,Submitted,2026-05-11T23:34:41+09:00,2026-05-12T00:13:28+09:00,2026-05-15T00:13:28+09:00,A2P7PLVMBBOFQH,H_0001,DCBAFE,DBAFEC,BAFEDC,BCDEFA,FADCEB,DCFBEA,BCADFE,FABCDE,DBCFEA,DFAECB,CABDEF,DAFBEC,CDFAEB,DEFBCA,DCEAFB,FBCDEA,DCAEFB,DFBECA,BACEDF,DBFEAC,CABDEF,CDFEAB,EACDBF,FABDEC,FBACDE
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A3J2H5Z1Z33WSC,36V4Q8R5Z2W91EVJ43FOKVS3FEEQMP,Submitted,2026-05-11T23:58:35+09:00,2026-05-12T00:14:25+09:00,2026-05-15T00:14:25+09:00,A3J2H5Z1Z33WSC,H_0001,FCBADE,ACBEFD,ABDCFE,ACFDBE,ABCDEF,BFCDAE,FABDEC,ACEBDF,BCAFDE,BCFDEA,BCDAFE,BCFADE,BCDFAE,BCAFDE,BCFDAE,BCFDEA,BCAFDE,ACBDEF,BCDAFE,BCFDAE,AFCDEB,BCFDAE,BFCDAE,BAFCDE,BFCDAE
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A5UR4BXM44NHP,3H7XDTSHKUNET1VJ59GZZFQS7TJWGR,Submitted,2026-05-11T23:35:54+09:00,2026-05-12T00:22:45+09:00,2026-05-15T00:22:45+09:00,A5UR4BXM44NHP,H_0001,EADFBC,DABCEF,ABECDF,ABCDEF,EDCFAB,ADBEFC,FACBED,FABCDE,ADEBFC,BFEDAC,CABDEF,CFDAEB,CDFBEA,CFAEDB,BCAFED,EACBDF,CEABFD,CFDEAB,ABFECD,ABCDEF,ABEFCD,CFABED,EABCDF,FACDEB,FACDEB
3THR0FZ966OJN02OZCH36TMIWWNLOY,H_0001,A7WKRQXI0CAVW,379J5II416C0YTNTV0J9Q1O0W60LE6,Submitted,2026-05-11T23:58:46+09:00,2026-05-12T00:23:22+09:00,2026-05-15T00:23:22+09:00,A7WKRQXI0CAVW,H_0001,EAFDBC,CBFAED,DBFCEA,CDFBEA,BEACDF,BDEAFC,BFADCE,FDACEB,ABCDEF,ADCFEB,EADBFC,ADFBEC,CBFDEA,ECBFAD,AFDBEC,FCBDAE,CEBDAF,DAFCEB,ECFADB,AEFCDB,BFAEDC,CEAFDB,AFEDBC,BFADEC,CAFEBD
